index,price,carat
0,326,0.23
1,326,0.21
2,327,0.23
3,334,0.29
4,335,0.31
5,336,0.24
6,336,0.24
7,337,0.26
8,337,0.22
9,338,0.23
10,339,0.3
11,340,0.23
12,342,0.22
13,344,0.31
14,345,0.2
15,345,0.32
16,348,0.3
17,351,0.3
18,351,0.3
19,351,0.3
20,351,0.3
21,352,0.23
22,353,0.23
23,353,0.31
24,353,0.31
25,354,0.23
26,355,0.24
27,357,0.3
28,357,0.23
29,357,0.23
30,402,0.23
31,402,0.23
32,402,0.23
33,402,0.23
34,402,0.23
35,402,0.23
36,402,0.23
37,402,0.31
38,403,0.26
39,403,0.33
40,403,0.33
41,403,0.33
42,403,0.26
43,403,0.26
44,403,0.32
45,403,0.29
46,403,0.32
47,403,0.32
48,404,0.25
49,404,0.29
50,404,0.24
51,404,0.23
52,404,0.32
53,404,0.22
54,404,0.22
55,405,0.3
56,405,0.3
57,405,0.3
58,405,0.3
59,405,0.3
60,552,0.35
61,552,0.3
62,552,0.3
63,552,0.3
64,552,0.42
65,553,0.28
66,553,0.32
67,553,0.31
68,553,0.31
69,553,0.24
70,553,0.24
71,554,0.3
72,554,0.3
73,554,0.3
74,554,0.3
75,554,0.26
76,554,0.26
77,554,0.26
78,554,0.26
79,554,0.26
80,554,0.26
81,554,0.26
82,554,0.26
83,554,0.38
84,554,0.26
85,554,0.24
86,554,0.24
87,554,0.24
88,554,0.24
89,554,0.32
90,2757,0.7
91,2757,0.86
92,2757,0.7
93,2759,0.71
94,2759,0.78
95,2759,0.7
96,2759,0.7
97,2759,0.96
98,2760,0.73
99,2760,0.8
100,2760,0.75
101,2760,0.75
102,2760,0.74
103,2760,0.75
104,2760,0.8
105,2760,0.75
106,2760,0.8
107,2761,0.74
108,2761,0.81
109,2761,0.59
110,2761,0.8
111,2761,0.74
112,2761,0.9
113,2762,0.74
114,2762,0.73
115,2762,0.73
116,2762,0.8
117,2762,0.71
118,2762,0.7
119,2762,0.8
120,2762,0.71
121,2762,0.74
122,2762,0.7
123,2762,0.7
124,2762,0.7
125,2762,0.7
126,2763,0.91
127,2763,0.61
128,2763,0.91
129,2763,0.91
130,2763,0.77
131,2764,0.71
132,2764,0.71
133,2765,0.7
134,2765,0.77
135,2765,0.63
136,2765,0.71
137,2765,0.71
138,2765,0.76
139,2766,0.64
140,2766,0.71
141,2766,0.71
142,2767,0.7
143,2767,0.7
144,2767,0.71
145,2767,0.7
146,2768,0.71
147,2768,0.73
148,2768,0.7
149,2768,0.7
