index,mpg-city,mpg-highway,horsepower,torque
0,18,25,250,236
1,22,28,200,207
2,21,30,200,207
3,21,28,200,207
4,21,28,200,207
5,16,27,265,243
6,17,26,265,243
7,13,18,350,325
8,14,20,280,266
9,22,30,211,258
10,21,27,211,258
11,17,26,265,243
12,20,29,280,254
13,18,26,305,273
14,12,17,555,500
15,12,17,555,500
16,12,17,555,500
17,12,17,555,500
18,18,25,185,190
19,18,25,185,190
20,18,25,185,190
21,18,25,185,190
22,18,25,185,190
23,18,25,185,190
24,18,25,185,190
25,20,26,185,190
26,18,25,185,190
27,13,18,310,334
28,9,12,310,334
29,13,17,310,334
30,13,17,310,334
31,8,12,280,295
32,8,12,324,373
33,10,13,310,334
34,13,17,310,334
35,15,20,195,260
36,14,19,302,305
37,15,20,195,260
38,15,20,195,260
39,15,20,195,260
40,14,19,302,305
41,18,26,350,276
42,18,26,350,276
43,18,26,350,276
44,21,29,227,236
45,21,30,227,236
46,21,30,227,236
47,21,29,227,236
48,9,15,530,774
49,8,14,621,590
50,8,14,621,590
51,8,14,621,590
52,12,19,621,590
53,8,13,552,479
54,11,19,600,553
55,10,17,600,553
56,10,17,600,553
57,10,17,552,479
58,19,28,227,236
59,20,28,227,236
60,19,28,227,236
61,21,29,168,170
62,21,30,227,236
63,21,30,227,236
64,20,27,227,236
65,20,30,250,266
66,18,26,300,325
67,18,26,325,354
68,18,26,300,325
69,19,27,240,236
70,15,22,311,325
71,16,24,281,295
72,18,27,235,236
73,21,30,227,236
74,20,26,227,236
75,20,31,168,170
76,17,22,300,325
77,18,25,240,236
78,16,21,281,295
79,18,27,235,236
80,18,25,240,236
81,17,22,300,325
82,16,21,281,295
83,16,22,235,236
84,17,23,270,278
85,17,22,270,278
86,17,22,270,278
87,17,23,270,278
88,17,22,270,278
89,16,22,240,236
90,14,21,311,325
91,15,22,235,236
92,13,19,311,325
93,18,27,235,236
94,18,23,157,178
95,17,23,270,278
96,17,22,270,278
97,17,22,270,278
98,17,23,270,278
99,17,22,270,278
100,21,30,200,207
101,17,25,271,251
102,21,31,190,162
103,22,31,190,162
104,21,31,190,162
105,19,28,271,251
106,22,31,190,162
107,21,31,190,162
108,22,31,190,162
109,18,25,332,270
110,18,25,332,270
111,18,25,332,270
112,18,25,332,270
113,18,25,332,270
114,18,25,332,270
115,18,25,332,270
116,18,25,332,270
117,21,30,200,207
118,18,26,332,270
119,18,26,332,270
120,19,26,332,270
121,18,26,332,270
122,21,30,200,207
123,19,26,332,270
124,18,26,332,270
125,18,26,332,270
126,19,26,332,270
127,21,31,211,258
128,21,29,211,258
129,21,31,211,258
130,21,29,211,258
131,29,38,120,112
132,29,38,120,112
133,29,38,120,112
134,38,37,120,112
135,28,37,120,112
136,28,37,120,112
137,21,30,227,236
138,21,29,227,236
139,21,30,227,236
140,21,29,227,236
141,21,27,211,258
142,22,30,211,258
143,21,29,168,170
144,20,27,227,236
145,21,29,211,258
146,21,29,211,258
147,23,30,211,258
148,23,32,190,162
149,22,33,190,162
150,17,26,271,251
151,23,32,190,162
152,19,29,271,251
153,22,33,190,162
154,22,33,190,162
155,29,38,120,112
156,29,38,120,112
157,28,37,120,112
158,28,37,120,112
159,22,31,177,161
160,21,31,177,161
161,22,31,177,161
162,21,31,177,161
163,22,31,190,162
164,21,31,190,162
165,22,31,190,162
166,21,31,190,162
167,19,29,271,254
168,20,29,268,248
169,20,29,268,248
170,18,26,332,270
171,18,26,332,270
172,18,26,332,270
173,18,26,332,270
174,19,28,268,248
175,19,28,268,248
176,19,28,268,248
177,22,33,169,167
178,22,32,169,167
179,22,33,169,167
180,22,32,169,167
181,20,29,268,248
182,22,33,179,171
183,22,32,179,171
184,20,29,268,248
185,22,32,169,167
186,20,29,268,248
187,26,36,160,146
188,26,36,160,146
189,25,35,140,136
190,25,34,140,136
191,25,35,140,136
192,25,34,140,136
193,25,35,140,136
194,25,34,140,136
195,25,34,140,136
196,24,35,140,136
197,24,34,140,136
198,24,35,140,136
199,24,34,140,136
200,24,35,140,136
201,24,34,140,136
202,24,35,140,136
203,24,34,140,136
204,23,31,175,180
205,18,27,270,258
206,18,26,300,325
207,20,29,240,236
208,17,23,325,354
209,19,25,240,236
210,17,23,300,325
211,17,23,300,325
212,19,25,240,236
213,16,23,240,236
214,16,23,240,236
215,23,32,175,180
216,18,27,270,258
217,22,33,169,167
218,22,32,169,167
219,22,33,169,167
220,22,32,169,167
221,19,28,268,248
222,22,33,179,171
223,22,32,179,171
224,19,28,268,248
225,22,32,169,167
226,19,28,268,248
227,15,22,235,236
228,16,22,240,236
229,16,21,281,295
230,17,22,300,325
231,18,25,240,236
232,20,26,227,236
233,21,30,227,236
234,8,14,567,516
235,10,17,552,479
236,10,17,600,553
237,24,35,140,136
238,24,34,140,136
239,24,35,140,136
240,24,34,140,136
241,11,18,600,553
242,10,17,600,553
243,10,17,552,479
244,9,15,500,738
245,28,35,132,128
246,26,34,132,128
247,26,34,132,128
248,28,35,132,128
249,26,34,132,128
250,13,20,563,575
251,21,29,211,258
252,20,26,211,258
253,11,18,453,531
254,11,18,453,531
255,21,31,211,258
256,21,29,211,258
257,11,18,453,531
258,21,29,211,258
259,21,31,211,258
260,22,30,211,258
261,18,27,265,243
262,21,27,211,258
263,11,18,453,531
264,13,20,563,575
265,19,29,271,254
266,11,18,453,531
267,23,33,177,161
268,23,34,177,161
269,23,34,177,161
270,23,34,177,161
271,23,33,190,162
272,23,34,190,162
273,20,30,271,254
274,23,34,190,162
275,20,30,271,254
276,11,18,453,531
277,11,18,453,531
278,11,18,453,531
279,23,33,170,177
280,24,31,170,177
281,23,29,115,125
282,23,29,115,125
283,24,31,170,177
284,24,31,170,177
285,24,34,115,125
286,24,31,170,177
287,23,33,170,177
288,23,33,170,177
289,23,33,170,177
290,24,34,115,125
291,26,35,132,128
292,26,34,132,128
293,26,35,132,128
