index,price,carat
0,11199,1.71
1,1353,0.4
2,990,0.44
3,3635,0.91
4,744,0.41
5,7155,1.59
6,846,0.34
7,5656,0.9
8,9285,1.54
9,5249,1.01
10,6632,1.04
11,3422,0.81
12,9475,1.22
13,1125,0.4
14,988,0.39
15,812,0.38
16,956,0.39
17,555,0.29
18,2069,0.74
19,16519,1.52
20,9878,1.5
21,773,0.42
22,810,0.33
23,4776,1.15
24,876,0.41
25,5055,1.07
26,6697,1.01
27,1238,0.55
28,3718,0.9
29,702,0.3
30,6284,1.1
31,4892,1.0
32,3150,0.75
33,8505,1.7
34,3828,1.05
35,2353,0.74
36,18029,2.51
37,6451,1.2
38,692,0.37
39,485,0.24
40,3445,0.9
41,8467,1.4
42,8915,1.3
43,4155,1.0
44,4503,1.03
45,2513,0.7
46,485,0.23
47,6787,1.01
48,12755,1.71
49,1580,0.56
50,718,0.3
51,18706,2.22
52,1052,0.51
53,663,0.36
54,14362,2.27
55,5599,1.01
56,4345,1.52
57,586,0.27
58,647,0.31
59,3294,0.7
60,2560,0.74
61,3170,0.92
62,2042,0.7
63,738,0.33
64,6759,1.01
65,548,0.25
66,8008,1.0
67,3944,1.01
68,1056,0.43
69,5284,1.37
70,526,0.3
71,789,0.36
72,2102,0.51
73,3454,0.74
74,4258,0.92
75,7090,1.33
76,745,0.34
77,833,0.38
78,11364,1.55
79,2682,0.57
80,8067,1.51
81,1088,0.4
82,6616,1.1
83,2138,0.9
84,421,0.3
85,11043,1.7
86,4181,1.01
87,1721,0.47
88,571,0.31
89,17663,1.34
90,1129,0.43
91,3252,0.71
92,1377,0.51
93,2326,0.71
94,1890,0.7
95,1200,0.4
96,6399,1.06
97,1049,0.39
98,11190,2.06
99,5882,1.04
100,438,0.3
101,846,0.35
102,3312,0.9
103,1915,0.7
104,7218,1.11
105,1884,0.61
106,5575,1.08
107,2450,0.71
108,17688,2.01
109,2066,0.72
110,8371,1.5
111,732,0.31
112,3092,0.7
113,541,0.29
114,1177,0.44
115,573,0.3
116,814,0.3
117,4071,1.12
118,1343,0.51
119,2688,0.72
120,8710,1.51
121,7963,1.58
122,477,0.32
123,7106,1.24
124,16861,2.02
125,2549,0.71
126,918,0.32
127,17449,1.5
128,3596,0.84
129,5621,1.0
130,1249,0.49
131,941,0.38
132,727,0.36
133,1004,0.39
134,17294,2.05
135,6745,1.21
136,16304,2.01
137,1813,0.59
138,574,0.34
139,593,0.38
140,544,0.32
141,891,0.31
142,3039,0.7
143,7127,1.01
