index,avg-temp,max-temp,min-temp,wind-speed
0,39,46,32,4.33
1,39,47,31,3.86
2,46,51,41,9.73
3,45,52,38,6.86
4,34,38,29,7.8
5,38,44,31,8.7
6,30,36,24,16.46
7,22,32,9,3.1
8,34,36,31,9.1
9,38,43,33,9.76
10,31,39,23,17.9
11,14,30,4,2.2
12,27,34,19,8.23
13,39,42,35,11.26
14,40,42,37,19.76
15,36,40,31,9.23
16,34,37,30,11.2
17,37,41,33,6.16
18,39,42,35,18.83
19,40,42,36,21.8
20,27,33,20,11.76
21,30,39,20,3.7
22,29,32,25,12.86
23,0,8,-9,0.36
24,37,42,32,10.5
25,60,60,60,1.83
26,60,60,60,0.0
27,60,60,60,0.0
28,43,46,39,11.26
29,38,42,33,5.2
30,32,35,29,9.03
31,32,39,23,4.93
32,21,29,13,3.83
33,6,9,2,13.76
34,36,40,32,5.93
35,41,57,24,4.2
36,40,54,25,4.2
37,58,69,45,5.8
38,56,69,43,12.93
39,29,42,15,2.7
40,39,51,27,5.16
41,38,48,27,7.4
42,42,49,34,0.0
43,47,60,33,2.2
44,27,42,12,3.06
45,35,49,21,1.56
46,44,51,37,4.06
47,44,53,33,0.0
48,46,55,36,0.86
49,47,53,41,6.56
50,54,65,43,2.13
51,55,63,45,2.76
52,44,50,36,7.73
53,45,51,38,6.16
54,44,52,34,3.63
55,49,57,41,6.46
56,55,64,45,1.83
57,46,51,41,4.43
58,39,44,33,18.8
59,51,62,39,4.9
60,51,63,37,3.86
61,42,51,33,1.86
62,14,33,-5,1.4
63,28,45,9,3.13
64,-10,3,-23,0.4
65,27,40,12,7.2
66,14,24,4,4.46
67,26,47,4,1.93
68,38,43,32,8.86
69,34,40,27,6.2
70,37,46,27,6.43
71,37,46,27,6.43
72,63,68,58,6.23
73,76,82,70,5.16
74,56,62,51,4.6
75,56,61,50,4.83
76,79,82,74,4.53
77,76,82,70,3.33
78,65,72,57,6.93
79,48,52,44,9.33
80,53,57,48,6.16
81,66,71,59,5.73
82,69,74,62,6.9
83,74,80,67,6.83
84,51,58,47,5.06
85,45,54,36,5.1
86,42,48,36,10.93
87,48,56,41,3.06
88,47,53,40,5.46
89,56,62,49,5.0
90,73,81,65,3.33
91,73,81,64,5.13
92,71,80,60,8.4
93,72,79,64,8.86
94,70,79,60,6.06
95,15,23,7,3.0
96,21,29,12,2.56
97,8,21,-4,2.66
98,25,30,20,12.16
99,25,31,19,10.9
100,29,35,22,8.2
101,29,35,22,10.53
102,24,30,18,9.73
103,31,37,24,9.96
104,35,43,27,6.06
105,29,31,25,13.2
106,29,34,24,10.73
107,27,30,23,11.83
108,22,28,15,11.46
109,24,32,16,10.0
110,21,27,14,11.86
111,21,31,11,8.63
112,22,29,13,11.06
113,31,43,18,8.96
114,31,46,16,8.36
115,30,46,13,8.1
116,34,49,19,4.9
117,32,43,22,5.96
118,33,45,21,5.96
119,33,39,27,7.73
120,37,45,28,2.93
121,35,42,27,7.93
122,38,45,31,6.7
123,36,47,25,5.6
124,47,53,40,3.43
125,47,52,43,8.33
126,50,54,46,11.93
127,46,53,39,5.36
128,47,53,42,6.66
129,29,35,22,4.6
130,23,29,17,5.66
131,34,39,28,7.53
132,37,48,26,5.36
133,38,48,28,3.46
134,37,41,31,11.83
135,60,60,60,11.6
136,31,35,26,11.56
137,27,32,21,8.96
138,32,36,27,12.96
139,31,34,27,11.13
140,30,33,26,13.3
