user,chartType,dataset,field
100,dotplot-40,diamonds,carat
100,dotplot-100,weather,max-temp
100,histogram,weather,wind-speed
100,boxplot,cars,horsepower
100,violinplot,cars,torque
100,control,cars,mpg-city
101,dotplot-40,cars,mpg-highway
101,dotplot-100,cars,horsepower
101,histogram,weather,wind-speed
101,boxplot,diamonds,price
101,violinplot,cars,torque
101,control,weather,max-temp
102,dotplot-40,cars,torque
102,dotplot-100,weather,min-temp
102,histogram,diamonds,price
102,boxplot,cars,mpg-highway
102,violinplot,weather,avg-temp
102,control,weather,max-temp
103,dotplot-40,diamonds,carat
103,dotplot-100,cars,mpg-highway
103,histogram,weather,min-temp
103,boxplot,cars,horsepower
103,violinplot,diamonds,price
103,control,weather,wind-speed
104,dotplot-40,weather,avg-temp
104,dotplot-100,cars,mpg-city
104,histogram,cars,torque
104,boxplot,diamonds,carat
104,violinplot,cars,mpg-highway
104,control,weather,min-temp
105,dotplot-40,cars,horsepower
105,dotplot-100,diamonds,carat
105,histogram,weather,max-temp
105,boxplot,cars,mpg-city
105,violinplot,cars,mpg-highway
105,control,weather,min-temp
106,dotplot-40,cars,mpg-city
106,dotplot-100,diamonds,price
106,histogram,weather,wind-speed
106,boxplot,cars,mpg-highway
106,violinplot,diamonds,carat
106,control,weather,min-temp
107,dotplot-40,cars,mpg-highway
107,dotplot-100,cars,mpg-city
107,histogram,weather,min-temp
107,boxplot,weather,wind-speed
107,violinplot,weather,avg-temp
107,control,diamonds,price
108,dotplot-40,cars,mpg-highway
108,dotplot-100,cars,mpg-city
108,histogram,weather,min-temp
108,boxplot,weather,avg-temp
108,violinplot,cars,torque
108,control,cars,horsepower
109,dotplot-40,weather,avg-temp
109,dotplot-100,diamonds,carat
109,histogram,diamonds,price
109,boxplot,weather,max-temp
109,violinplot,cars,mpg-city
109,control,cars,horsepower
110,dotplot-40,diamonds,price
110,dotplot-100,cars,torque
110,histogram,diamonds,carat
110,boxplot,weather,avg-temp
110,violinplot,cars,horsepower
110,control,weather,min-temp
111,dotplot-40,diamonds,carat
111,dotplot-100,cars,torque
111,histogram,weather,avg-temp
111,boxplot,weather,wind-speed
111,violinplot,cars,mpg-highway
111,control,weather,max-temp
112,dotplot-40,cars,horsepower
112,dotplot-100,weather,wind-speed
112,histogram,diamonds,carat
112,boxplot,diamonds,price
112,violinplot,weather,avg-temp
112,control,cars,mpg-city
113,dotplot-40,weather,avg-temp
113,dotplot-100,weather,wind-speed
113,histogram,cars,mpg-city
113,boxplot,weather,max-temp
113,violinplot,diamonds,carat
113,control,cars,mpg-highway
114,dotplot-40,cars,mpg-highway
114,dotplot-100,weather,max-temp
114,histogram,weather,min-temp
114,boxplot,cars,mpg-city
114,violinplot,weather,wind-speed
114,control,weather,avg-temp
115,dotplot-40,weather,max-temp
115,dotplot-100,cars,torque
115,histogram,diamonds,price
115,boxplot,weather,wind-speed
115,violinplot,cars,horsepower
115,control,cars,mpg-city
116,dotplot-40,cars,horsepower
116,dotplot-100,diamonds,price
116,histogram,weather,avg-temp
116,boxplot,cars,mpg-city
116,violinplot,weather,min-temp
116,control,cars,mpg-highway
117,dotplot-40,weather,wind-speed
117,dotplot-100,cars,mpg-highway
117,histogram,diamonds,carat
117,boxplot,cars,torque
117,violinplot,weather,max-temp
117,control,weather,min-temp
118,dotplot-40,cars,mpg-highway
118,dotplot-100,cars,torque
118,histogram,weather,min-temp
118,boxplot,weather,max-temp
118,violinplot,cars,horsepower
118,control,cars,mpg-city
119,dotplot-40,weather,wind-speed
119,dotplot-100,cars,horsepower
119,histogram,weather,min-temp
119,boxplot,weather,max-temp
119,violinplot,cars,mpg-city
119,control,cars,mpg-highway
